ID	Name	Link	Traditional
76	Torta rustica salata	https://ricette.giallozafferano.it/Torta-rustica-salata	
77	Passatelli in brodo	https://ricette.giallozafferano.it/Passatelli-in-brodo	
78	Arrosto di vitello al forno con patate	https://ricette.giallozafferano.it/Arrosto-di-vitello-al-forno-con-patate	
79	Pasta con la zucca	https://ricette.giallozafferano.it/Pasta-con-la-zucca	
80	Frittata di spaghetti	https://ricette.giallozafferano.it/Frittata-di-spaghetti	
81	Canederli alla tirolese (Knödel)	https://ricette.giallozafferano.it/Canederli-alla-tirolese-Knodel	
82	Spaghetti alla puttanesca	https://ricette.giallozafferano.it/Spaghetti-alla-puttanesca	
83	Pasta al forno con broccoli e pancetta	https://ricette.giallozafferano.it/Pasta-al-forno-con-broccoli-e-pancetta	
84	Polpette di zucchine	https://ricette.giallozafferano.it/Polpette-di-zucchine	
85	Carne alla pizzaiola	https://ricette.giallozafferano.it/Carne-alla-pizzaiola	
86	Cosce di pollo al forno	https://ricette.giallozafferano.it/Cosce-di-pollo-al-forno	
87	Vellutata di zucca	https://ricette.giallozafferano.it/Vellutata-di-zucca	
88	Capesante gratinate	https://ricette.giallozafferano.it/Capesante-gratinate	
89	Pasta alla cenere	https://ricette.giallozafferano.it/Pasta-alla-cenere	
90	Polpette di carne	https://ricette.giallozafferano.it/Polpette-di-carne	
91	Pasta alla marinara	https://ricette.giallozafferano.it/Pasta-alla-marinara	
92	Pasta agli asparagi	https://ricette.giallozafferano.it/Pasta-agli-asparagi	
93	Spaghetti aglio olio e peperoncino	https://ricette.giallozafferano.it/Spaghetti-aglio-olio-e-peperoncino	
94	Pomodori ripieni	https://ricette.giallozafferano.it/Pomodori-ripieni	
95	Ali di pollo e patate saporite	https://ricette.giallozafferano.it/Ali-di-pollo-e-patate-saporite	
96	Pasta con asparagi e pancetta	https://ricette.giallozafferano.it/Pasta-con-asparagi-e-pancetta	
97	Orecchiette con le cime di rapa	https://ricette.giallozafferano.it/Orecchiette-con-le-cime-di-rapa	
98	Carbonara di mare	https://ricette.giallozafferano.it/Carbonara-di-mare	
99	Tagliatelle ai funghi porcini	https://ricette.giallozafferano.it/Tagliatelle-ai-funghi-porcini	
100	Risotto ai funghi porcini	https://ricette.giallozafferano.it/Risotto-ai-funghi-porcini	
101	Spezzatino con piselli	https://ricette.giallozafferano.it/Spezzatino-con-piselli	
